Unnamed: 0,Name,Location,Year,Kilometers_Driven,Owner_Type,Mileage,Engine,Power,Seats,Price,Transmission_Manual,Fuel_Diesel,Fuel_LPG,Fuel_Petrol
0,Maruti Wagon R LXI CNG,Mumbai,2010,72000,1.0,26.6,998,58.16,5.0,1.75,1,0,0,0
1,Hyundai Creta 1.6 CRDi SX Option,Pune,2015,41000,1.0,19.67,1582,126.2,5.0,12.5,1,1,0,0
2,Honda Jazz V,Chennai,2011,46000,1.0,18.2,1199,88.7,5.0,4.5,1,0,0,1
3,Maruti Ertiga VDI,Chennai,2012,87000,1.0,20.77,1248,88.76,7.0,6.0,1,1,0,0
4,Audi A4 New 2.0 TDI Multitronic,Coimbatore,2013,40670,2.0,15.2,1968,140.8,5.0,17.74,0,1,0,0
5,Hyundai EON LPG Era Plus Option,Hyderabad,2012,75000,1.0,21.1,814,55.2,5.0,2.35,1,0,1,0
6,Nissan Micra Diesel XV,Jaipur,2013,86999,1.0,23.08,1461,63.1,5.0,3.5,1,1,0,0
7,Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,2016,36000,1.0,11.36,2755,171.5,8.0,17.5,0,1,0,0
8,Volkswagen Vento Diesel Comfortline,Pune,2013,64430,1.0,20.54,1598,103.6,5.0,5.2,1,1,0,0
9,Tata Indica Vista Quadrajet LS,Chennai,2012,65932,2.0,22.3,1248,74.0,5.0,1.95,1,1,0,0
10,Maruti Ciaz Zeta,Kochi,2018,25692,1.0,21.56,1462,103.25,5.0,9.95,1,0,0,1
11,Honda City 1.5 V AT Sunroof,Kolkata,2012,60000,1.0,16.8,1497,116.3,5.0,4.49,0,0,0,1
12,Maruti Swift VDI BSIV,Jaipur,2015,64424,1.0,25.2,1248,74.0,5.0,5.6,1,1,0,0
13,Land Rover Range Rover 2.2L Pure,Delhi,2014,72000,1.0,12.7,2179,187.7,5.0,27.0,0,1,0,0
14,Land Rover Freelander 2 TD4 SE,Pune,2012,85000,2.0,0.0,2179,115.0,5.0,17.5,0,1,0,0
15,Mitsubishi Pajero Sport 4X4,Delhi,2014,110000,1.0,13.5,2477,175.56,7.0,15.0,1,1,0,0
16,Honda Amaze S i-Dtech,Kochi,2016,58950,1.0,25.8,1498,98.6,5.0,5.4,1,1,0,0
17,Maruti Swift DDiS VDI,Jaipur,2017,25000,1.0,28.4,1248,74.0,5.0,5.99,1,1,0,0
18,Renault Duster 85PS Diesel RxL Plus,Kochi,2014,77469,1.0,20.45,1461,83.8,5.0,6.34,1,1,0,0
19,Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,2014,78500,1.0,14.84,2143,167.62,5.0,28.0,0,1,0,0
20,BMW 3 Series 320d,Kochi,2014,32982,1.0,22.69,1995,190.0,5.0,18.55,0,1,0,0
21,Maruti S Cross DDiS 200 Alpha,Bangalore,2015,55392,2.0,23.65,1248,88.5,5.0,8.25,1,1,0,0
22,Audi A6 2011-2015 35 TFSI Technology,Mumbai,2015,55985,1.0,13.53,1984,177.01,5.0,23.5,0,0,0,1
23,Hyundai i20 1.2 Magna,Kolkata,2010,45807,1.0,18.5,1197,80.0,5.0,1.87,1,0,0,1
24,Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,1.0,14.4,1598,103.6,5.0,2.85,0,0,0,1
25,Honda City Corporate Edition,Mumbai,2012,51920,1.0,16.8,1497,116.3,5.0,4.25,1,0,0,1
26,Nissan Micra Diesel XV,Hyderabad,2012,54000,1.0,23.08,1461,63.1,5.0,4.25,1,1,0,0
27,Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,2.0,20.92,998,67.1,5.0,2.75,1,0,0,1
28,Honda WRV i-VTEC VX,Kochi,2018,37430,1.0,17.5,1199,88.7,5.0,9.9,1,0,0,1
29,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,,12.8,2494,102.0,7.0,4.0,1,1,0,0
30,Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,1.0,19.01,1461,108.45,5.0,7.75,1,1,0,0
31,Toyota Corolla Altis G,Delhi,2012,87615,1.0,14.53,1798,138.1,5.0,6.75,1,0,0,1
32,Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,2.0,11.18,2696,184.0,7.0,12.5,0,1,0,0
33,Audi A6 2.7 TDI,Kolkata,2010,35000,1.0,12.4,2698,179.5,5.0,11.5,0,1,0,0
34,Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,2.0,16.09,1598,103.5,5.0,6.98,1,0,0,1
35,Maruti Wagon R LXI BSIII,Jaipur,2009,83816,2.0,14.0,1061,64.0,5.0,1.85,1,0,0,1
36,Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,1.0,24.3,1248,88.5,5.0,8.63,1,1,0,0
37,Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,1.0,18.15,1198,82.0,5.0,4.85,1,0,0,1
38,Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,1.0,11.74,2987,254.8,5.0,28.0,0,1,0,0
39,Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,1.0,22.07,1199,73.9,5.0,5.0,1,1,0,0
40,Maruti Alto LXi,Delhi,2008,90000,2.0,19.7,796,46.3,5.0,1.25,1,0,0,1
41,Tata Nano LX SE,Kochi,2014,19698,1.0,25.4,624,37.5,4.0,1.53,1,0,0,1
42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,1.0,25.32,1198,77.0,6.0,5.58,1,1,0,0
43,Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,1.0,18.5,1197,82.9,5.0,4.74,1,0,0,1
44,Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,1.0,14.62,1999,149.92,5.0,8.85,0,0,0,1
45,Toyota Corolla Altis G AT,Mumbai,2016,52001,1.0,14.28,1798,138.03,5.0,10.11,0,0,0,1
46,Hyundai Elantra CRDi,Ahmedabad,2008,58005,2.0,14.9,1991,112.2,5.0,4.25,1,1,0,0
47,Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,1.0,11.25,2694,163.7,7.0,10.95,1,0,0,1
48,Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,1.0,24.4,1120,71.0,5.0,3.85,1,1,0,0
49,Mahindra Thar CRDe AC,Jaipur,2012,75800,2.0,16.55,2498,105.0,6.0,5.5,1,1,0,0
50,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,1.0,17.11,1968,174.33,5.0,21.43,0,1,0,0
51,Maruti Swift LDI,Delhi,2014,52000,1.0,22.9,1248,74.0,5.0,4.25,1,1,0,0
52,Maruti Swift Ldi BSIV,Kolkata,2014,53000,1.0,17.8,1248,75.0,5.0,3.3,1,1,0,0
53,Maruti Swift VDI,Delhi,2013,65650,1.0,28.4,1248,74.0,5.0,3.85,1,1,0,0
54,Hyundai Grand i10 Sportz,Chennai,2015,54000,3.0,18.9,1197,82.0,5.0,3.6,1,0,0,1
55,Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,1.0,15.04,1598,103.2,5.0,3.99,1,0,0,1
56,Renault KWID RXT,Kochi,2017,16542,1.0,25.17,799,53.3,5.0,3.3,1,0,0,1
57,Hyundai i10 Asta,Kolkata,2010,32000,1.0,20.36,1197,78.9,5.0,2.07,1,0,0,1
58,Nissan X-Trail SLX AT,Hyderabad,2010,121812,1.0,13.29,1995,147.6,5.0,7.75,0,1,0,0
59,Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,1.0,18.2,998,67.1,5.0,2.25,1,0,0,1
60,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,1.0,13.68,2393,147.8,8.0,16.5,1,1,0,0
61,Ford Figo Diesel Titanium,Bangalore,2010,72000,1.0,20.0,1399,68.0,5.0,2.75,1,1,0,0
62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,1.0,11.74,1796,186.0,5.0,26.7,0,0,0,1
63,Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,2.0,15.8,2148,170.0,5.0,10.0,1,1,0,0
64,Tata Indica V2 eLS,Chennai,2016,178000,1.0,25.0,1396,69.0,5.0,2.5,1,1,0,0
65,Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,1.0,16.55,1968,140.0,5.0,13.5,0,1,0,0
66,Honda City ZX CVT,Mumbai,2007,63000,2.0,16.4,1497,78.0,5.0,1.85,0,0,0,1
67,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,1.0,0.0,1950,194.0,5.0,35.67,0,1,0,0
